circuit,No. of cells,No. of I/O ports,No. of nets,Area,Power_leakage(nW),Power_Internal,Power_Nets,Power_dynamic(Switching)(nW),Power_total(nW)
xor19,27,20,46,143.054,831.26,6459.39,2466.91,8926.3,9757.558
xor18,25,19,43,135.485,815.23,6227.16,2264.62,8491.79,9307.019
xor17,24,18,41,127.159,742.69,5460.81,2048.2,7509.01,8251.698
xor16,22,17,38,119.59,718.13,5336.64,1940.41,7277.05,7995.18
xor15,21,16,36,111.264,645.59,4822.31,1779.68,6601.99,7247.578
xor14,19,15,33,103.695,629.56,4677.49,1651.43,6328.92,6958.477
xor13,18,14,31,95.369,557.02,4237.36,1530.14,5767.51,6324.521
xor12,16,13,28,87.8,532.46,3729.07,1327.01,5056.08,5588.532
xor11,15,12,26,79.475,459.91,3180.26,1159.73,4339.99,4799.903
xnor20,28,21,48,151.38,910.34,7390.76,2638.41,10029.16,10939.506
xnor19,27,20,46,143.054,837.8,6781.68,2460.16,9241.85,10079.645
xnor18,25,19,43,135.485,821.77,6393.59,2236.15,8629.74,9451.514
xnor17,24,18,41,127.159,749.23,5709.96,2008.97,7718.93,8468.156
xnor16,22,17,38,119.59,724.67,5609.85,1947.8,7557.65,8282.319
xnor15,21,16,36,111.264,652.13,5012.98,1745.3,6758.28,7410.408
xnor14,19,15,33,103.695,636.1,4884.17,1667.67,6551.84,7187.94
xnor13,18,14,31,95.369,555.02,4238.08,1489.01,5727.09,6282.116
xnor12,16,13,28,87.8,539,3913.49,1296.63,5210.12,5749.117
xnor11,15,12,26,79.475,466.45,3408.95,1160.79,4569.74,5036.198
AO21,1,4,4,6.812,42.64,89.94,42.19,132.13,174.769
AO22,1,5,5,7.569,43.09,120.52,54.84,175.36,218.452
AO31,2,5,6,8.326,20.76,118.91,72.56,191.47,212.23
AO32,2,6,7,9.083,21.03,167.64,93.66,261.3,282.334
AO33,3,10,12,15.138,31.41,200.12,160.73,360.86,392.27
AO41,2,6,7,9.84,39.23,101.37,79.1,180.48,219.708
AO42,2,7,8,10.597,29.66,104.89,93.45,198.34,228.003
AO43,4,11,14,18.923,41.97,158.82,172.12,330.94,372.911
AO44,5,17,21,26.492,52.3,164.67,249.75,414.42,466.718
AO51,3,7,9,14.381,65.86,109.81,102.3,212.12,277.983
AO52,3,8,10,15.138,56.29,116.95,116.65,233.6,289.891
AO53,4,12,15,21.95,59.19,240.54,200.18,440.72,499.904
A054,7,21,27,36.331,89.39,217.93,320.2,538.14,627.523
AO55,10,26,35,54.497,184.58,335.28,429.89,765.17,949.759
AO61,4,8,11,15.138,37.23,122.9,130.57,253.47,290.709
AO62,3,9,11,15.895,47.04,168.29,138.59,306.88,353.92
AO63,4,13,16,22.707,59.86,260.34,212.2,472.54,532.406
AO64,5,15,19,25.735,53.66,307.79,257.13,564.93,618.588
AO65,5,16,20,26.492,53.65,201.86,253.55,455.4,509.055
AO66,11,37,47,70.392,216.23,440.98,575.65,1016.62,1232.858
AO71,3,9,11,16.652,67.03,82.56,121.06,203.64,270.669
AO72,3,10,12,17.409,57.46,91.14,135.42,226.56,286.023
AO73,5,14,18,24.221,51.3,182.04,221.27,403.32,454.62
AO74,5,16,20,27.248,54.3,265.66,263.46,529.12,583.421
csa16,57,50,90,348.174,1936.03,9893.61,3864.16,13757.78,15693.809
ksuba16,669,66,222,6581.245,30743.76,402825.83,181587.65,584413.48,615157.235
dual_port_sram,292,27,247,3525.64,20603.74,92326.4,13577.41,105903.81,126507.547
